YEAR,MM,DD, HH,MM, SS  ,LATITUDE, LONG. ,DEPTH,ERR, MAG,MT,Q, Io, Area,ST, Locality              ,(Reference) Comments
1986,08,20, 11,58,   10,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG) 
1986,08,20, 18,00,   14,  -5.530,-35.750,  0.0, 10, 3.8, 1,C,  5,     ,RN,Joao Camara            ,(UFRN;UnB;IAG) 
1986,08,20, 18,12,   14,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG) 
1986,08,21, 09,34,   40,  -5.520,-35.730,  0.0,  5, 4.2, 1,A,6-7,     ,RN,Joao Camara            ,(UFRN;UnB;IAG) sentido J. Pessoa e Recife
1986,08,21, 09,41,   45,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG) mb inferida    
1986,08,23, 20,06,   31,  -5.530,-35.750,  0.0, 10, 3.7, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1986,08,25, 14,52,   12,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,08,27, 09,54,   53,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,08,27, 13,25,   26,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) mb inf.   
1986,09,03, 01,16,   06,  -5.500,-35.740,  0.0,  5, 4.1, 1,A,  6,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,03, 03,38,   18,  -5.530,-35.750,  0.0, 10, 3.4, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,03, 04,19,   50,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,04, 01,15,   39,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,04, 01,31,   21,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,05, 20,39,   28,  -5.510,-35.760,  0.0,  5, 4.1, 1,A,  6,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,05, 20,46,   17,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(IAG) mb inferida   
1986,09,05, 20,57,   23,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(IAG) mb inferida   
1986,09,09, 09,17,   22,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,09, 20,02,   36,  -5.530,-35.750,  0.0, 10, 3.6, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,09,09, 23,29,   02,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,09,11, 09,05,   41,  -5.530,-35.750,  0.0, 10, 3.6, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,10,19, 01,45,   15, -23.450,-45.290,  0.0, 10, 2.1, 1,I,  -,     ,SP,S. Luis Par.           ,(IAG;IPT) 
1986,11,17, 23,23,   06, -11.560,-56.580,  0.0, 40, 3.6, 1,I,  -,     ,MT,Pto.Gauchos            ,(UnB)
1986,11,30, 03,57,   24, -13.500,-48.750,  0.0,100, 3.2, 1,I,  -,     ,GO,FORMOSO                ,(UnB)
1986,11,30, 05,19, 50.0,  -5.540,-35.760,  5.0,  5, 5.1, 1,A,  7,     ,RN,Joao Camara            ,(UnB;UFRN;IAG: pGT H.O.=AK135) 
1986,11,30, 05,26,   10,  -5.530,-35.750,  0.0, 10, 3.9, 1,I,  -,     ,RN,Joao Camara            ,(UnB)
1986,11,30, 06,07,   35,  -5.530,-35.750,  0.0, 10, 4.0, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG) 
1986,11,30, 06,10,   20,  -5.530,-35.750,  0.0, 10, 4.2, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG) 
1986,11,30, 06,58,   57,  -5.530,-35.750,  0.0, 10, 3.8, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG) 
1986,11,30, 07,02,   05,  -5.530,-35.750,  0.0, 10, 4.2, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG) 
1986,11,30, 14,01,   47,  -5.530,-35.750,  0.0, 10, 3.8, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,11,30, 23,01,   16,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB) 
1986,11,30, 23,02,   47,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB) 
1986,11,30, 23,03,   59,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,01, 01,04,   51,  -5.530,-35.750,  0.0, 10, 3.8, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,01, 17,37,   05,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB) 
1986,12,01, 21,59,   16,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB) 
1986,12,02, 07,06,   12,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB) 
1986,12,02, 09,50,   48,  -5.530,-35.750,  0.0, 10, 3.6, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB) 
1986,12,03, 08,01,   46,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,03, 10,06,   02,  -5.530,-35.750,  0.0, 10, 3.6, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG;UFRN) 
1986,12,03, 21,55,   37,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,05, 14,17,   50,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,12,05, 22,10,   08,  -5.530,-35.750,  0.0, 10, 4.0, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,06, 03,04,   21,  -5.530,-35.750,  0.0, 10, 3.4, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,06, 09,31,   32,  -5.530,-35.750,  0.0, 10, 3.6, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,06, 09,51,   04,  -5.530,-35.750,  0.0, 10, 3.8, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,07, 06,09,   24,  -8.240,-59.840,  0.0,100, 3.3, 1,I,  -,     ,AM,R. ARIPUANA            ,(UnB)
1986,12,07, 20,18,   09,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,12,08, 21,23,   42,  -5.490,-35.720,  6.0,  2, 3.6, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,08, 21,49,   03,  -5.480,-35.700,  6.0,  3, 3.5, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1986,12,09, 06,48,44.30,  -5.526,-35.738,  5.0,  3, 4.4, 1,I,  6,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) epic: 4P local net
1986,12,11, 14,23,   01,  -5.530,-35.750,  0.0, 10, 3.2, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,12,13, 04,32,   17,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,12,16, 08,20,   16,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,12,16, 21,52,   18,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,12,20, 02,05,   43,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1986,12,24, 07,05,   25,  -5.530,-35.750,  0.0, 10, 3.8, 1,I,  -,     ,RN,Joao Camara            ,(UnB;IAG;UFRN) 
1986,12,24, 23,18,   50,  -5.530,-35.750,  0.0, 10, 3.4, 1,I,  -,     ,RN,Joao Camara            ,(IAG)
1987,01,03, 13,31,   04,  -5.530,-35.750,  0.0, 10, 3.7, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,01,04, 02,24,   48,  -5.530,-35.750,  0.0, 10, 3.5, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,01,07, 11,08,   27,  -5.600,-35.790,  0.0,  2, 3.7, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,01,07, 12,14,   16,  -5.600,-35.790,  0.0,  2, 3.8, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,01,07, 15,06,   45,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,01,13, 06,38,   59,  -5.530,-35.750,  0.0, 10, 3.3, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG)
1987,01,28, 16,16,   12,  -5.520,-35.760,  0.0,  2, 3.7, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG)
1987,01,30, 02,03,     ,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,02,03, 23,51,   56,  -5.500,-35.730,  0.0,  2, 3.8, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,02,07, 07,48,   14,  -5.530,-35.750,  0.0, 10, 3.4, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,02,07, 22,12,   38,  -5.490,-35.710,  0.0,  2, 3.7, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,02,23, 20,01,   37,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(IAG;UnB;UFRN) 
1987,02,24, 20,15,   06,  -5.530,-35.750,  0.0, 10, 3.1, 1,I,  -,     ,RN,Joao Camara            ,(UnB;UFRN;IAG) 
1987,02,25, 21,37,   04,  -3.720,-39.810,  0.0, 50, 3.0, 1,C,  4,  0.8,CE,ITAPAJE'               ,(UnB;IAG) Uruburetama   
1987,03,10, 23,42,   03,  -5.000,-35.000,  0.0,100, 2.8, 1,I,  -,     ,RN,Touros                 ,(UFRN; IAG)    
1987,03,20, 14,46,   59, -24.700,-43.600,  0.0,100, 3.0, 1,I,  -,     ,SP,Plat.Contin.           ,(IAG; IPT; ON) 
1987,03,21, 20,39,   14, -21.900,-45.600,  0.0,  5, 2.5, 1,I,  -,     ,MG,S.Gonc.Sapuc           ,(IAG; IPT; ON) 
1987,03,22, 03,15,   09, -26.700,-44.200,  0.0,100, 3.2, 1,I,  -,     ,PR,Plat.Contin.           ,(IAG; IPT; ON) 
1987,04,10, 15,29,   34, -20.010,-43.780,  0.0, 60, 2.5, 1,I,  -,     ,MG,Nova Lima              ,(UnB)
1987,04,28, 04,59,   17,  -5.530,-35.750,  0.0, 10, 3.6, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG)
1987,05,01, 05,25,   44, -20.800,-44.400,  0.0, 20, 2.5, 1,I,  -,     ,MG,S.Joao del REI         ,(IAG; IPT)
1987,05,17, 05,32,   15,  -5.700,-36.050,  0.0, 50, 2.0, 1,B,  -,  0.7,RN,CAICARA R.V.           ,(UFRN; IAG)    
1987,06,02, 06,08,   08,  -8.380,-36.150,  0.0,  6, 2.0, 1,I,  -,     ,PE,TACAIMBO'              ,(IAG)
1987,06,02, 06,29,   36,  -8.380,-36.150,  0.0,  6, 2.3, 1,C,  -,     ,PE,TACAIMBO'              ,(UFRN; IAG) varios  
1987,06,02, 19,16,     , -20.500,-44.500,  0.0, 50, 2.8, 1,I,  -,     ,MG,S. ITAGUARA            ,(IAG)
1987,06,18, 16,21,   02,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1987,06,27, 05,09,   02,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1987,07,29, 07,18,   28, -27.600,-43.500,  0.0,100, 3.7, 1,I,  -,     ,SP,ATLANTICO              ,(IAG; IPT)
1987,08,03, 11,34,   47, -13.230,-39.680,  0.0,  5, 2.3, 1,C,  -,0.113,BA,V.JEQUIRICA'           ,(IAG) VARIOS   
1987,08,04, 13,25,   41, -21.400,-46.200,  0.0, 20, 2.5, 1,I,  -,     ,MG,ALFENAS                ,(IAG; ON) 
1987,08,27, 13,01,   22, -25.000,-44.100,  0.0, 50, 3.6, 1,I,  -,     ,SP,Plat. Continental      ,(IAG; ON; IPT) 
1987,09,05, 10,10,   22, -21.300,-46.200,  0.0, 10, 2.9, 1,I,  -,     ,MG,NW Alfenas             ,(IAG; ON; IPT) 
1987,09,23, 01,35,   21, -19.550,-43.990,  0.0, 20, 3.2, 1,I,  -,     ,MG,LAGOA SANTA            ,(UnB; IAG)
1987,09,28, 20,18,   49, -18.900,-44.000,  0.0, 80, 3.1, 1,I,  -,     ,MG,CORDISBURGO            ,(UnB)
1987,10,14, 01,08,   19,  -2.430,-55.150,  0.0, 50, 3.5, 1,I,  -,     ,PA,TUMUCUMAQUE?           ,(UnB) ou: 2.2 N 55.0 W   
1987,10,15, 09,01,   41, -11.600,-56.900,  0.0, 50, 3.9, 1,I,  -,     ,MT,P. GAUCHOS             ,(UnB)
1987,10,24,   ,  ,     , -23.370,-45.670,  0.0,  0, 2.5, 1,C,  4,     ,SP,PARAIBUNA              ,(IAG)    
1987,10,24, 21,23,   40,  -7.010,-73.940,  0.0, 30, 5.2, 0,I,  -,     ,AC,Peru-Brasil            ,(USGS)    
1987,11,30, 01,23,   56,  -5.530,-35.750,  0.0, 10, 3.0, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG)
1987,12,10, 21,36,   24, -11.500,-56.900,  0.0, 50, 3.5, 1,I,  -,     ,MT,P. GAUCHOS             ,(UnB)  57.9W ??
1987,12,11, 09,17,   40,  -6.800,-51.200,  0.0, 50, 3.0, 1,I,  -,     ,PA,S.FELIX XIN.           ,(UnB)
1987,12,15, 11,22,   41,  -4.800,-50.450,  0.0, 50, 2.5, 1,I,  -,     ,PA,SA. CARAJAS            ,(UnB)
1987,12,17, 04,32,   00, -20.100,-44.500,  0.0, 25, 2.3, 1,I,  -,     ,MG,C. CAJURU              ,(IAG; UnB; IPT)
1987,12,17, 05,13,   40, -20.200,-44.800,  0.0, 25, 2.4, 1,I,  -,     ,MG,C. CAJURU              ,(IAG; UnB; IPT)
1988,01,19, 23,41,   36,  -0.400,-49.900,  0.0,100, 3.8, 1,I,  -,     ,PA,CHAVES ?               ,(UnB)
1988,02,16, 15,03,   00,   5.020,-51.250,  0.0,100, 3.7, 1,I,  -,     ,AP,Plataforma             ,(UnB)
1988,02,22, 22,27,   18,  -5.000,-38.200,  0.0, 30, 2.0, 1,I,  -,     ,CE,MORADA NOVA?           ,(UnB; IAG)
1988,03,14, 06,11,   42,  -4.700,-38.000,  0.0, 30, 2.2, 1,I,  -,     ,CE,PALHANO                ,(UnB; IAG)
1988,03,14, 10,31,   51,  -4.600,-37.900,  0.0, 30, 2.1, 1,I,  -,     ,CE,PALHANO ?              ,(UnB; IAG)
1988,03,14, 23,43,   33,  -4.600,-38.000,  0.0, 30, 2.1, 1,I,  -,     ,CE,PALHANO ?              ,(IAG; UFRN; UnB)    
1988,04,01, 00,36, 34.2,  -3.950,-40.370,  8.0,  2, 4.1, 1,I,5-6,     ,CE,GROAIRAS; Sobral       ,(UFRN; Kwitko-Assumpcao 1990) checar H.O.
1988,04,01, 00,37,   46,  -3.950,-40.370,  8.0,  2, 3.9, 1,I,  -,     ,CE,GROAIRAS; sobral       ,(IAG)   
1988,04,05, 03,00,   51, -22.100,-51.340,  0.0, 20, 3.8, 1,A,  6,  5.0,SP,P. PRUDENTE            ,(UnB; IAG)
1988,04,14, 04,20,   11,  -4.800,-38.100,  0.0, 30, 2.1, 1,I,  -,     ,CE,PALHANO ?              ,(UnB; IAG)
1988,04,30, 07,33,   16,  -4.700,-38.300,  0.0, 30, 2.5, 1,I,  -,     ,CE,PALHANO ?              ,(UnB; IAG)
1988,05,01, 03,33,   21,  -4.700,-38.200,  0.0, 30, 2.6, 1,I,  -,     ,CE,PALHANO ?              ,(UnB; IAG)
1988,05,13, 09,00,   21,  -5.050,-37.630,  0.0,100, 2.3, 1,I,  -,     ,RN,BARAUNA                ,(UnB; IAG)
1988,06,05, 16,50,   32,   0.920,-61.660,  0.0, 50, 3.8, 1,I,  -,     ,RR,S.JOSE ANAUA           ,(UnB)
1988,06,07, 06,33,   14, -24.320,-58.120,  0.0,100, 3.0, 1,I,  -,     ,PY,PARAGUAI               ,(UnB; IAG)
1988,06,11, 23,59,   29,  -4.300,-41.480,  0.0, 70, 3.1, 1,I,  -,     ,PI,PEDRO II               ,(UnB; IAG)
1988,06,24, 10,01,   44, -20.660,-57.970,  0.0, 50, 3.9, 1,I,  -,     ,MS,MS                     ,(USGS; UnB; IAG) 
1988,06,25, 11,56,   26,  -5.530,-35.750,  0.0, 15, 3.4, 1,I,  -,     ,RN,JOAO CAMARA            ,(UnB) SERIE DE EVENTOS   
1988,06,26, 03,24,   22, -36.270,-52.730, 18.0, 40, 4.9, 2,I,  -,     ,UR,URUGUAI                ,(USGS; UnB; IAG; SJA) Felt III Uruguay
1988,06,29, 13,14,   27,  -5.530,-35.750,  0.0, 15, 3.9, 1,C,  -,     ,RN,JOAO CAMARA            ,(UnB; FOLHA S.PAULO)
1988,07,19, 10,30,     , -20.730,-47.750,  0.0,  0, 3.0, 4,C,  4,     ,SP,NUPORANGA              ,(TV Globo;Rib.Preto)
1988,07,21, 21,13,   27, -24.750,-40.420,  0.0,100, 2.5, 1,I,  -,     ,RJ,PLATAFORMA             ,(IAG; IPT)
1988,08,11, 07,06,   14, -11.620,-56.990,  0.0, 50, 3.7, 1,I,  -,     ,MT,P. GAUCHOS             ,(UnB; IAG)
1988,08,11, 08,06,   17, -11.630,-57.950,  0.0, 50, 4.0, 1,I,  -,     ,MT,P. GAUCHOS             ,(UnB; IAG)
1988,08,30, 12,51,   24, -23.370,-45.670,  0.0, 10, 2.7, 1,I,  -,     ,SP,PARAIBUNA              ,(IPT; IAG)
1988,08,30, 15,40,   20,  -6.090,-47.960,  0.0, 30, 3.5, 1,I,  5,     ,TO,ARAGUATINS             ,(UnB; IAG)
1988,09,01, 02,56,   53, -18.800,-45.140,  0.0, 20, 2.6, 1,I,  -,     ,MG,TRES MARIAS            ,(UnB; IAG; ON) 
1988,09,02, 17,51,   07, -23.370,-45.670,  0.0, 10, 2.6, 1,I,  -,     ,SP,PARAIBUNA              ,(IPT; IAG)
1988,09,03, 01,46,   30, -23.370,-45.670,  0.0, 10, 2.4, 1,I,  -,     ,SP,PARAIBUNA              ,(IPT; IAG)
1988,09,03, 03,49,   19, -23.370,-45.670,  0.0, 10, 2.0, 1,I,  -,     ,SP,PARAIBUNA              ,(IPT; IAG)
1988,09,03, 07,29,   23,  -3.100,-59.760,  0.0, 50, 3.8, 1,I,  -,     ,AM,RIO JATAPU             ,(UnB)
1988,09,06, 07,02,   54, -23.360,-45.630,  0.0,  6, 2.0, 1,I,  -,     ,SP,PARAIBUNA              ,(IPT; IAG)
1988,09,19, 03,05,   59, -25.290,-45.090,  0.0, 50, 2.5, 1,I,  -,     ,SP,Plataforma             ,(IAG;IPT;ON) corrigido   
1988,10,01, 01,39,   40,  -5.530,-35.750,  0.0, 15, 3.3, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1988,10,01, 16,43,   38,  -5.530,-35.750,  0.0, 15, 3.0, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1988,10,03, 01,03,   35,  -5.530,-35.750,  0.0, 15, 3.0, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1988,10,03, 05,02,   36, -11.660,-56.910,  0.0, 40, 3.2, 1,I,  -,     ,MT,PTO. GAUCHOS           ,(UnB)
1988,10,03, 23,57,   56,  -5.530,-35.750,  0.0, 15, 3.1, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1988,10,04, 15,23,   33,  -5.530,-35.750,  0.0, 15, 3.0, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1988,10,04, 22,18,   43,  -4.820,-37.970,  0.0,  5, 2.8, 1,I,  -,     ,CE,PALHANO                ,(IAG)
1988,10,12, 08,16,   33, -27.300,-46.970,  0.0, 50, 2.9, 1,I,  -,     ,SC,PLATAFORMA             ,(IAG; IPT; UnB)
1988,10,18, 09,44,   37,  -4.810,-37.980,  4.0,  2, 3.7, 1,I,  -,     ,CE,PALHANO                ,(UFRN; UnB; IAG)    
1988,10,18, 21,03,   29,  -4.810,-37.980,  4.0,  2, 3.9, 1,I,  -,     ,CE,PALHANO                ,(UFRN; UnB; IAG)    
1988,10,19, 02,15, 51.3,  -4.810,-37.980,  4.0,  2, 4.2, 1,I,  6,     ,CE,PALHANO                ,(UFRN; UnB; IAG; Assumpcao_etal 1989)    
1988,10,19, 06,02,   35, -24.800,-42.000,  0.0,100, 2.1, 1,I,  -,     ,SP,PLATAFORMA             ,(IPT; IAG)
1988,10,29, 03,24,   28,  -4.810,-37.970,  4.0,  2, 4.1, 1,I,  6,     ,CE,PALHANO                ,(UFRN; UnB; IAG)    
1988,10,29, 15,30,   07,  -4.810,-37.970,  0.0,  4, 3.3, 1,I,  -,     ,CE,PALHANO                ,(IAG)
1988,10,29, 16,18,   09,  -4.810,-37.970,  0.0,  4, 3.0, 1,I,  -,     ,CE,PALHANO                ,(IAG)
1988,10,30, 07,13,   04,  -4.810,-37.970,  5.0,  2, 3.2, 1,I,  -,     ,CE,PALHANO                ,(UFRN; UnB; IAG)    
1988,11,01, 14,25,   29,  -5.530,-35.750,  0.0, 15, 3.3, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1988,11,09, 20,38,   09, -26.100,-52.100,  0.0,100, 2.1, 1,I,  -,     ,PR,MANGUEIRINHA           ,(UnB) explosao ?    
1988,11,10, 20,15,   03,  -4.810,-37.980,  0.0,  5, 3.3, 1,I,  -,     ,CE,PALHANO                ,(IAG; UFRN)    
1988,11,10, 22,36,   25, -20.310,-47.350,  0.0, 30, 2.3, 1,I,  -,     ,SP,FRANCA                 ,(UnB; IPT; IAG) expl.?   
1988,11,28, 19,32,   39,  -5.530,-35.750,  0.0, 15, 3.0, 1,I,  -,     ,RN,JOAO CAMARA            ,(IAG; UFRN)    
1988,12,10, 09,52,   19,  -0.730,-59.380,  0.0, 50, 3.8, 1,I,  -,     ,RR,JUNDIA'                ,(UnB)
1988,12,10, 10,28,   48,  -4.810,-37.980,  0.0,  5, 3.4, 1,I,  -,     ,CE,PALHANO                ,(IAG; UFRN)    
1988,12,23, 15,34,   54, -23.000,-44.210,  0.0,  1, 2.8, 1,I,  5,  0.6,RJ,Monsuaba               ,(IAG;ON;IPT) Angra II MM 
1988,12,25, 17,03,   16, -23.000,-44.210,  0.0,  1, 2.6, 1,I,4-5,     ,RJ,Monsuaba               ,(IAG;ON;IPT)   
1988,12,25, 17,35,     , -23.000,-44.220,  0.0,  3, 2.1, 5,I,  4,     ,RJ,Monsuaba               ,(IAG;ON;IPT)   
1988,12,27, 01,53,   42, -22.990,-44.210,  0.0,  1, 2.2, 5,I,  4,     ,RJ,Monsuaba               ,(IAG;ON;IPT)   
1988,12,28, 02,29,   46, -23.000,-44.220,  0.0,  1, 2.0, 5,I,  4,     ,RJ,Monsuaba               ,(IAG;ON;IPT)   
1988,12,29, 21,48,   37, -14.080,-48.160,  0.0, 50, 2.4, 1,I,  -,     ,GO,NIQUELANDIA            ,(SAAS-UnB)
1989,01,06, 19,02,   24, -23.370,-45.670,  0.0, 10, 2.3, 1,I,  -,     ,SP,Paraibuna              ,(IPT;IAG) 
1989,01,07, 03,01,   13, -11.620,-48.110,  0.0, 40, 3.8, 1,I,  -,     ,TO,Natividade             ,(UnB;IAG) 
1989,01,07, 11,36,   39, -22.930,-51.010,  0.0,  2, 3.7, 1,A,  6,  0.8,PR,Ibiaci                 ,(IPT;IAG;UnB;ON) Provavel induzido.
1989,01,15, 12,45,   18,  -4.810,-37.970,  0.0,  5, 3.6, 1,I,  -,     ,CE,Palhano                ,(IAG;UnB) 
1989,01,18, 23,38,   10, -23.370,-45.670,  0.0, 10, 2.5, 1,I,  -,     ,SP,Paraibuna              ,(IPT;IAG;ON)   
1989,02,03, 19,32,   09, -23.280,-45.470,  0.0, 10, 2.8, 1,I,  -,     ,SP,Paraibuna              ,(IPT;IAG;ON)   
1989,02,07, 19,12,   45,  -4.810,-37.970,  0.0,  5, 3.1, 1,I,  -,     ,CE,Palhano                ,(IAG)
1989,03,09, 01,44,   05, -24.510,-40.690,  0.0, 70, 3.4, 1,I,  -,     ,RJ,Plataforma             ,(IPT;IAG) 
1989,03,09, 19,20,   17, -19.400,-45.700,  0.0, 20, 3.4, 1,I,  4,     ,MG,D. Indaia'             ,(IAG;UnB;IPT;ON)    
1989,03,10, 04,11, 20.2,  -5.460,-35.690,  8.0,  5, 5.0, 2,I,  7,     ,RN,J.Camara               ,(UFRN;IAG;UnB; Kwitko_Assumpcao 1990) 
1989,03,10, 07,13,   27,  -5.460,-35.690,  0.0, 10, 3.2, 1,I,  -,     ,RN,J.Camara               ,(IAG)
1989,03,10, 10,07,   13,  -5.460,-35.690,  0.0, 10, 3.9, 1,I,  -,     ,RN,J.Camara               ,(IAG;UnB) 
1989,03,10, 18,54,   52,  -5.460,-35.690,  0.0, 10, 3.3, 1,I,  -,     ,RN,J.Camara               ,(IAG)
1989,03,10, 21,26,   39,  -5.460,-35.690,  0.0, 10, 3.5, 1,I,  -,     ,RN,J.Camara               ,(IAG)
1989,03,14, 22,56,   35,  -5.460,-35.690,  0.0, 10, 3.0, 1,I,  -,     ,RN,J.Camara               ,(IAG)
1989,03,25, 14,33,   48,  -4.810,-37.970,  0.0,  5, 3.5, 1,I,  -,     ,CE,Palhano                ,(IAG)
1989,03,25, 15,29,   24,  -4.810,-37.970,  4.0,  5, 4.1, 1,I,  -,     ,CE,Palhano                ,(UFRN;UnB;IAG) 
1989,03,26, 13,25,39.31,  -4.810,-37.970,  4.0,  3, 4.5, 2,I,  6,     ,CE,Palhano                ,(UFRN;UnB;IAG) 
1989,03,26, 16,30,   16,  -4.810,-37.970,  4.0,  5, 3.7, 1,I,  -,     ,CE,Palhano                ,(UFRN;IAG;UnB) 
1989,03,26, 18,17,   48,  -4.810,-37.970,  0.0,  5, 3.9, 1,I,  -,     ,CE,Palhano                ,(UFRN;UnB;IAG) 
